board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed
6,(5 5),0.197624,0.000777,84,0
6,(5 6),0.021188,0.000939,85,0
6,(6 1),0.174393,0.000796,86,0
6,(6 2),0.027574,0.000846,87,0
6,(6 3),0.019311,0.000933,88,0
6,(6 4),0.021625,0.000851,89,0
6,(6 5),0.011504,0.000867,90,0
6,(6 6),0.174025,0.000747,91,0

7,(1 1),0.001646,0.000765,92,0
7,(1 2),0.001415,0.000716,93,0
7,(1 3),0.008496,0.000842,94,0
7,(1 4),0.001658,0.000732,95,0
7,(1 5),0.002757,0.000885,96,0
7,(1 6),0.000860,0.000722,97,0
7,(1 7),0.083012,0.000952,98,0
7,(2 1),0.009199,0.000919,99,0
7,(2 2),0.010096,0.000971,100,0
7,(2 3),0.001449,0.000776,101,0
7,(2 4),0.015662,0.000922,102,0
7,(2 5),0.000884,0.000746,103,0
7,(2 6),0.009886,0.000837,104,0
7,(2 7),0.098173,0.001081,105,0
7,(3 1),0.001385,0.000941,106,0
7,(3 2),0.007063,0.000750,107,0
7,(3 3),0.000982,0.000769,108,0
7,(3 4),0.001001,0.000782,109,0
7,(3 5),0.001469,0.000730,110,0
7,(3 6),0.079275,0.001029,111,0
7,(3 7),0.006588,0.000816,112,0
7,(4 1),0.000883,0.000740,113,0
7,(4 2),0.015524,0.000956,114,0
7,(4 3),0.001920,0.000827,115,0
7,(4 4),0.000837,0.000732,116,0
7,(4 5),0.062131,0.000847,117,0
7,(4 6),0.004795,0.000835,118,0
7,(4 7),0.000842,0.000720,119,0
7,(5 1),0.001012,0.000867,120,0
7,(5 2),0.000862,0.000837,121,0
7,(5 3),0.007314,0.000901,122,0
7,(5 4),0.066665,0.000971,123,0
7,(5 5),0.001194,0.000734,124,0
7,(5 6),0.001637,0.000727,125,0
7,(5 7),0.014774,0.000768,126,0
7,(6 1),0.009501,0.000903,127,0
7,(6 2),0.010196,0.000950,128,0
7,(6 3),0.080341,0.001016,129,0
7,(6 4),0.001045,0.000775,130,0
7,(6 5),0.010276,0.000918,131,0
7,(6 6),0.019251,0.000916,132,0
7,(6 7),0.007840,0.000873,133,0
7,(7 1),0.080675,0.000954,134,0
7,(7 2),0.213252,0.000985,135,0
7,(7 3),0.011381,0.000867,136,0
7,(7 4),0.005738,0.000907,137,0
7,(7 5),0.009769,0.000870,138,0
7,(7 6),0.001080,0.000802,139,0
7,(7 7),0.001377,0.000718,140,0

8,(1 1),3.544439,0.001150,141,0
8,(1 2),0.086809,0.000943,142,0
8,(1 3),0.196702,0.000936,143,0
8,(1 4),0.108879,0.000905,144,0
8,(1 5),0.001778,0.000795,145,0
8,(1 6),0.124557,0.000863,146,0
8,(1 7),0.015444,0.000825,147,0
8,(1 8),1.318015,0.001117,148,0
8,(2 1),0.197362,0.001210,149,0
8,(2 2),0.008244,0.000848,150,0
8,(2 3),1.535181,0.001011,151,0
8,(2 4),1.951369,0.001009,152,0
8,(2 5),0.184530,0.001118,153,0
